EOM,dwh_country_id,payout_quarter,cash_list_actual_date,cash_list_actual_monthly,cash_list_expected_date,cash_list_expected_date_plan,cash_list_expected_monthly,n_loans,volume_10K
2015-02-28 00:00:00,32,2014_Q4,0.0615222313734,0.0558867070501,0.0217747203189,0.0380534113528,0.0228019153581,19,8.59
2015-02-28 00:00:00,128,2014_Q4,0.0773481997072,0.0551106631311,0.0557573024469,0.0505042615723,0.0589075037372,12,2.51
2015-03-31 00:00:00,1,2014_Q1,0.0636025345857,0.0627502011333,0.0570506249352,0.0511361220339,0.0591083196001,84,41.28
2015-03-31 00:00:00,1,2014_Q2,0.0737375106241,0.0746086660416,0.051974568022,0.0424879151727,0.0537686763261,85,65.55
2015-03-31 00:00:00,1,2014_Q3,0.0529455586568,0.0500046048919,0.0378993696421,0.0474171336429,0.039276906649,249,225.43
2015-03-31 00:00:00,1,2014_Q4,0.0642550090267,0.0629271091632,0.0372271572547,0.0389325637341,0.0386177530369,397,408.74
2015-03-31 00:00:00,32,2014_Q2,0.0629513117966,0.0629658416758,0.0493732286386,0.0379131758514,0.0514409051485,6,1.98
2015-03-31 00:00:00,32,2014_Q3,0.0264147092495,0.0269665785196,0.035035557103,0.0365798350647,0.0364872079953,35,15.23
2015-03-31 00:00:00,32,2014_Q4,0.0625149421604,0.057409887549,0.0244033130131,0.0376683786331,0.0255311332581,23,9.23
2015-03-31 00:00:00,128,2014_Q4,0.0553487515601,0.0528368011209,0.0522152548667,0.0526735587277,0.0537083518867,17,4.29
2015-04-30 00:00:00,1,2014_Q1,0.0592453355697,0.0582587245047,0.0542597915547,0.0511361220339,0.0561743489738,84,41.28
2015-04-30 00:00:00,1,2014_Q2,0.0734449362918,0.0706027790867,0.0498508092486,0.0424879151727,0.0515248883558,85,65.55
2015-04-30 00:00:00,1,2014_Q3,0.0448484261629,0.0427498767494,0.0383368901873,0.0474171336429,0.0396974467604,249,225.43
2015-04-30 00:00:00,1,2014_Q4,0.0593715059265,0.0575952473978,0.0365638210089,0.0389325637341,0.0379013543319,397,408.74
2015-04-30 00:00:00,1,2015_Q1,0.0637473700467,0.0574244495299,0.0312823703518,0.0326791201658,0.0323227795353,220,240.45
2015-04-30 00:00:00,32,2014_Q2,0.0628653108663,0.0628786061597,0.0504763093722,0.0379131758514,0.0524852521895,6,1.98
2015-04-30 00:00:00,32,2014_Q3,0.0306792938013,0.0312718779426,0.0360386333058,0.0365798350647,0.0374934867072,35,15.23
2015-04-30 00:00:00,32,2014_Q4,0.061200627261,0.0530436551112,0.00762496214574,0.0376683786331,0.00796896198445,23,9.23
2015-04-30 00:00:00,32,2015_Q1,0.0455997415678,0.0456089537731,0.0283534187794,0.0263315646743,0.0293360090867,9,4.65
