EOM,dwh_country_id,gblrc_rating_mapped_base,cash_list_actual_date,cash_list_actual_monthly,cash_list_expected_date,cash_list_expected_date_plan,cash_list_expected_monthly,n_loans,volume_10K
2014-11-30 00:00:00,1,B,0.0470575151334,0.0471823442558,0.0380987897904,0.0357787478905,0.0394584530053,64,45.0
2014-11-30 00:00:00,1,C,0.0585134435654,0.05821515376,0.0371081783191,0.0369948755805,0.03846485605,83,64.35
2014-11-30 00:00:00,1,D,0.0953978068785,0.0963635329794,0.0600917283226,0.0587464740828,0.0626585487704,87,63.95
2014-11-30 00:00:00,1,E,0.132490945217,0.131417391006,0.0854349192353,0.0701542096259,0.0891844467406,38,23.21
2014-11-30 00:00:00,32,A,0.0204942055495,0.0210019733624,0.0185363399181,0.0182431869228,0.0192233480615,4,1.2
2014-11-30 00:00:00,32,B,0.0321516550904,0.0346174201603,0.0238179208991,0.0220132776327,0.0248760374553,9,4.63
2014-11-30 00:00:00,32,C,0.0446442305483,0.0468225953466,0.0310914112577,0.0263284086301,0.032853895239,6,1.65
2014-11-30 00:00:00,32,D,0.0750707599284,0.0461958166161,0.0534206292535,0.053227303998,0.0558743472046,6,1.6
2014-12-31 00:00:00,1,A,0.0411435015819,0.0411807759896,0.0341302680859,0.0328351619287,0.0354112802206,58,49.64
2014-12-31 00:00:00,1,B,0.047228833702,0.0454441617896,0.0371817013261,0.0353732739058,0.0385040658558,86,66.44
2014-12-31 00:00:00,1,C,0.0609759777215,0.0574561018905,0.0366067396705,0.042517081951,0.0379331179016,109,94.61
2014-12-31 00:00:00,1,D,0.0990972662238,0.0960670625094,0.0625607332432,0.0621924252687,0.0652800549174,119,94.11
2014-12-31 00:00:00,1,E,0.135011126165,0.13202543585,0.0871084234362,0.07067807164,0.090803350695,46,27.46
2014-12-31 00:00:00,32,A,0.0212687290003,0.0210854328893,0.0186563071449,0.0182431869228,0.0193291836556,4,1.2
2014-12-31 00:00:00,32,B,0.0345505375528,0.0353085640868,0.0299903072745,0.0281309567556,0.0313381868247,16,7.83
2014-12-31 00:00:00,32,C,0.0483752947618,0.0389766181297,0.0341370291245,0.0437322136242,0.0357322630938,12,4.38
2014-12-31 00:00:00,32,D,0.0818560037192,0.0812147383847,0.059913856564,0.0535996909206,0.062658694577,9,3.8
2015-01-31 00:00:00,1,A,0.0383050706872,0.0395799542803,0.0333918388136,0.0319002205342,0.0347679704002,83,75.34
2015-01-31 00:00:00,1,B,0.0465006826637,0.0449847145045,0.0372734419678,0.0353351092955,0.0385895874215,105,84.75
2015-01-31 00:00:00,1,C,0.0619274085291,0.0574540681721,0.0350118663464,0.0460164643848,0.0363908823092,144,130.49
2015-01-31 00:00:00,1,D,0.0995680359842,0.0958417746833,0.0646187148668,0.0645322171846,0.0674091677236,150,119.08
2015-01-31 00:00:00,1,E,0.132845774643,0.130486446647,0.0878654468412,0.0714606001628,0.0915362582433,55,33.03
2015-01-31 00:00:00,32,A,0.0211510537352,0.0211278657547,0.018772323402,0.0182431869228,0.0194312907088,4,1.2
2015-01-31 00:00:00,32,B,0.0358143328221,0.0370296380354,0.0309303647838,0.0285696303201,0.0323446859037,18,8.58
2015-01-31 00:00:00,32,C,0.057109756652,0.0498332016465,0.0380132671796,0.0457741112467,0.0399342066974,19,6.77
2015-01-31 00:00:00,32,D,0.083925007834,0.0839216475041,0.0620542661094,0.0535996909206,0.0648095442685,9,3.8
2015-01-31 00:00:00,32,E,0.136015035611,0.135989311232,0.0761731412248,0.0668690768874,0.0803659218159,1,0.75
2015-01-31 00:00:00,128,B,0.0579455298287,0.0579959008716,0.0458699912186,0.0447594594113,0.0461835403562,1,0.15
2015-01-31 00:00:00,128,C,0.0548023290114,0.0556147938957,0.0426035470862,0.0386859142512,0.0455749191655,2,0.35
2015-01-31 00:00:00,128,D,0.0781880509404,0.086124178036,0.0548212218967,0.048838752401,0.0595916574966,3,0.68
2015-02-28 00:00:00,1,A,0.0367319507834,0.0380787404624,0.0307720564791,0.0303128573791,0.031946484839,105,103.35
2015-02-28 00:00:00,1,B,0.0418295770703,0.0418460202358,0.0324168589456,0.0339311396675,0.0335313571366,138,124.28
2015-02-28 00:00:00,1,C,0.0632894851403,0.0593058600661,0.03488738966,0.0450455315854,0.0362269910626,172,161.5
2015-02-28 00:00:00,1,D,0.0731661262848,0.0723899705368,0.0547280286592,0.059730052754,0.0569477201776,184,150.67
2015-02-28 00:00:00,1,E,0.129133100232,0.130581220374,0.077492802164,0.0654541957307,0.0806936805418,77,50.12
2015-02-28 00:00:00,32,A,0.0220182459082,0.0224400031893,0.0201367241165,0.0195691713603,0.0208147329644,5,1.5
2015-02-28 00:00:00,32,B,0.0365370706735,0.0378746103237,0.030724692877,0.0279216448315,0.0321408143582,20,9.38
2015-02-28 00:00:00,32,C,0.00318658728435,-0.000877003275748,0.0231312547544,0.0402485367162,0.0241716966831,24,9.37
2015-02-28 00:00:00,32,D,0.0783716916502,0.0773020042252,0.043808461428,0.0499513874126,0.0456292484247,10,4.8
2015-02-28 00:00:00,32,E,0.135613342804,0.139200604858,0.0806059244977,0.0668690768874,0.0849020672955,1,0.75
2015-02-28 00:00:00,128,B,0.0576148588379,0.0591399287734,0.0464063738738,0.0447594594113,0.0467203194087,1,0.15
2015-02-28 00:00:00,128,C,0.0624793097093,0.0746181215487,0.0472669315146,0.0421869815354,0.0519792014321,5,1.1
2015-02-28 00:00:00,128,D,0.082769354347,0.0209217461625,0.0576438520712,0.051566206696,0.0610236593518,5,0.96
2015-02-28 00:00:00,128,E,0.120013281987,0.124374574697,0.0742525975175,0.0681569416495,0.0749645227872,1,0.3
2015-03-31 00:00:00,1,A,0.0364420118757,0.0368902157431,0.0296402386727,0.0290651801602,0.0307038906256,127,135.3
2015-03-31 00:00:00,1,B,0.0434605143691,0.0437487752208,0.0347939411828,0.0329691367571,0.0359718899762,159,149.19
2015-03-31 00:00:00,1,C,0.0566899123177,0.0542362043927,0.0371040652683,0.0424423351925,0.0384649848745,211,203.03
2015-03-31 00:00:00,1,D,0.0760545571758,0.0731773106127,0.0443970103283,0.054842700499,0.0461465034369,223,190.88
2015-03-31 00:00:00,1,E,0.127891334219,0.127261490071,0.0709182547901,0.0609889542049,0.0737750815124,95,62.6
2015-03-31 00:00:00,32,A,0.0224760204154,0.022484943237,0.0202595252071,0.0195691713603,0.0209240713301,5,1.5
2015-03-31 00:00:00,32,B,0.0371946065448,0.0378147407437,0.030951271043,0.0276608466815,0.0323466070806,22,9.72
2015-03-31 00:00:00,32,C,0.0126370394445,0.0097211381012,0.0244612979217,0.0401309392841,0.02553127938,25,9.47
2015-03-31 00:00:00,32,D,0.0832703209115,0.0801124321282,0.0466054332094,0.0498892246203,0.0485048430356,11,5.0
2015-03-31 00:00:00,32,E,0.138159520266,0.138246107734,0.084892188164,0.0668690768874,0.0892510625019,1,0.75
2015-03-31 00:00:00,128,A,0.033095710899,0.0329001059218,0.0285474760082,0.0265759838157,0.0290927507228,1,0.25
2015-03-31 00:00:00,128,B,0.051129718949,0.0507605846593,0.0418326246613,0.0392485100807,0.0422482549467,2,0.66
2015-03-31 00:00:00,128,C,0.0671137416026,0.0728378769984,0.0560418377394,0.052256920411,0.0583479774478,6,1.61
2015-03-31 00:00:00,128,D,0.0352440071822,0.0241485667851,0.0486201603414,0.0572853687767,0.0500329328117,6,1.42
2015-03-31 00:00:00,128,E,0.121143592885,0.120586778544,0.0769509792748,0.06725604248,0.0777129018952,2,0.35
2015-04-30 00:00:00,1,A,0.0358230925971,0.0356816778208,0.0273411682621,0.028289320878,0.0283082789044,170,182.74
2015-04-30 00:00:00,1,B,0.0433658887837,0.0428395018347,0.0315057202997,0.0318814318928,0.0325734557618,203,202.93
2015-04-30 00:00:00,1,C,0.0535688320903,0.0506246065271,0.034954462714,0.0397205085268,0.0362054715221,270,269.86
2015-04-30 00:00:00,1,D,0.0641495520283,0.0591350683288,0.0438252209064,0.0512784712537,0.0453773126215,267,236.83
