EOM,dwh_country_id,payout_quarter,rating_base,cash_list_actual_date,cash_list_actual_monthly,cash_list_expected_date,cash_list_expected_date_plan,cash_list_expected_monthly,n_loans,volume_10K
2014-09-30 00:00:00,1,2014_Q1,C,0.0765600394477,0.0745473469577,0.0610909378726,0.0539631379894,0.0636657264989,17,7.77
2014-09-30 00:00:00,1,2014_Q1,D,0.101507024001,0.100852137345,0.0819354874505,0.0648903812353,0.0900637523914,12,5.75
2014-09-30 00:00:00,1,2014_Q1,E,0.125506035413,0.120964904066,0.101331939876,0.0795702001435,0.105527024515,15,5.96
2014-09-30 00:00:00,1,2014_Q2,A,0.0462629283426,0.0411415813368,0.0320679243426,0.0400237107624,0.0332804309243,13,11.51
2014-09-30 00:00:00,1,2014_Q2,B,0.0552885188818,0.0564092922128,0.0364614576988,0.0337412781343,0.0377812676219,29,21.65
2014-09-30 00:00:00,1,2014_Q2,C,0.0754457645391,0.07998100748,0.0448321497585,0.0391336172749,0.0468596441899,16,14.45
2014-09-30 00:00:00,1,2014_Q2,D,0.102100111533,0.106590693665,0.0657441451649,0.0581205398149,0.068488119145,12,7.3
2014-09-30 00:00:00,1,2014_Q2,E,0.135264815626,0.139648381449,0.071594252688,0.0621094441893,0.0748367947548,15,10.64
2014-09-30 00:00:00,32,2014_Q2,B,0.0336468019781,0.0336316479725,0.0197283894555,0.0177876852949,0.0208248102969,2,0.88
2014-09-30 00:00:00,32,2014_Q2,D,0.0593716673832,-0.0235013714822,0.043276310822,0.0535691987863,0.0454587435339,3,0.8
2014-09-30 00:00:00,32,2014_Q2,E,0.0921311919065,0.0920450685387,0.0636393599092,0.0550352742833,0.0682684525973,1,0.3
2014-10-31 00:00:00,1,2014_Q1,A,0.0477289392195,0.0484797571795,0.0457329897131,0.0422053500387,0.0472117354252,18,10.57
2014-10-31 00:00:00,1,2014_Q1,B,0.0552928445249,0.0537042770717,0.0433874454509,0.0397194376348,0.0448879442013,22,11.23
2014-10-31 00:00:00,1,2014_Q1,C,0.0781336553517,0.0776189815735,0.0633867203766,0.0539631379894,0.0659551202913,17,7.77
2014-10-31 00:00:00,1,2014_Q1,D,0.103122251673,0.110428361823,0.0871206347117,0.0648903812353,0.0956893258103,12,5.75
2014-10-31 00:00:00,1,2014_Q1,E,0.127257926346,0.122530146295,0.10375855695,0.0795702001435,0.107932242995,15,5.96
